authors,year,title,doi,pedro_score,manuscript_language,study_country,continent,subregion,economy,english_offical_lang,nonofficiallang_excluded,eng_study,samplesize_report,samplesize_total,sex_report,gender_report,g_gendersex_report,sexgender_femalewoman,sexgender_maleman,age_report_plus,age_mean,height_report,height_mean,weight_report,weight_mean,bmi_report,bmi_mean,comorbidities_report,comorbidities_howmany,comorbidities_mean,p_geog_report,p_geog_categories,p_geog_desc,p_geog_prop,r_ethnicityrace_report,r_ethnicityrace_lumped,r_ethnicityrace_class,r_ethnicityrace_categories,r_ethnicityrace_desc,r_ethnicityrace_prop,r_prilangspoken_report,r_cob_report,r_cob_categories,r_cob_desc,r_cob_prop,o_employment_report,o_employment_categories,o_employment_desc,o_employment_prop,r_religion_report,e_edu_report,e_edu_categories,e_edu_desc,e_edu_prop,e_edu_mean,se_income_report,se_income_categories,se_income_desc,se_income_prop,sc_report,sc_marital_categories,sc_marital_desc,sc_marital_prop,sc_livingarrangement_categories,sc_livingarrangement_desc,sc_livingarrangement_prop,plus_characteristics,plus_which,painvas_report,painvas100_mean,womac_report,womac_painmean,womac_stiffmean,womac_funcmean,womac_totalonly,koos_report,koos_painmean,koos_sympmean,koos_adlmean,koos_sportmean,koos_qolmean,sexgender_report
O. Aoki; N. Tsumura; A. Kimura; S. Okuyama; S. Takikawa; S. Hirata,2009,Home stretching exercise is effective for improving knee range of motion and gait in patients with knee osteoarthritis,10.1589/jpts.21.113,4,english,japan,asia,east asia,high income,no,unknown,unknown,yes,36,no,no,unknown,36,0,yes,73.3,no,NA,no,NA,yes,26.2,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,52.347,no,,,,,no,NA,,,NA,NA,yes
P. Apparao; G. Sandeep; S. Sudhakar; C. Ganapathy Swamy; S. G. Sudhan; T. Satya Prakash; R. Geetha Mounika,2017,Effectiveness of stabilization exercises and conventional physiotherapy in subjects with knee osteoarthritis,,5,english,india,asia,south asia,lower-middle income,yes,unknown,unknown,yes,104,no,no,unknown,NA,NA,no,NA,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,71.32,no,,,,,yes,29.685,31.645,35.755,NA,30.535,no
N. C. Avelar; A. P. Simão; R. Tossige-Gomes; C. D. Neves; E. Rocha-Vieira; C. C. Coimbra; A. C. Lacerda,2011,"The effect of adding whole-body vibration to squat training on the functional performance and self-report of disease status in elderly patients with knee osteoarthritis: a randomized, controlled clinical study",10.1089/acm.2010.0782,5,english,brazil,americas,south america,upper-middle income,no,unknown,unknown,yes,21,no,yes,yes,18,3,yes,73.09,yes,157.5,yes,73.46,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,11.196,4.093,39.238,,no,NA,,,NA,NA,yes
S. Ay; Ş. Koldaş Doǧan; D. Evcik,2013,Is there an effective way to prescribe a home-based exercise program in patients with knee osteoarthritis? a randomized controlled study,10.4274/tftr.70894,5,english,turkiye,asia,west asia,upper-middle income,no,unknown,unknown,yes,60,no,yes,no,47,13,yes,59.91,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,yes,4,prisch or secsch or highsch or uni,33v30v17v20,NA,no,,,,no,NA,,,NA,,,no,,yes,64.53,yes,9.568,nr,37.324,,no,NA,,,NA,NA,yes
O. Aydoǧdu; Z. Sari; S. U. Yurdalan; M. G. Polat,2017,Clinical outcomes of kinesio taping applied in patients with knee osteoarthritis: A randomized controlled trial,10.3233/BMR-169622,6,english,turkiye,asia,west asia,upper-middle income,no,unknown,unknown,yes,54,no,no,unknown,46,8,yes,51.88,yes,160.6,yes,80.659,yes,31.343,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,46.15,no,,,,,yes,64.121,70.827,72.308,33.424,47.96,yes
K. R. Baker; M. E. Nelson; D. T. Felson; J. E. Layne; R. Sarno; R. Roubenoff,2001,The efficacy of home based progressive strength training in older adults with knee osteoarthritis: a randomized controlled trial,,7,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,46,no,yes,no,36,10,yes,68.5,no,NA,no,NA,yes,31.5,yes,3,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,8.18,nr,29.98,,no,NA,,,NA,NA,yes
N. N. Bao; Q. Wu; Y. X. Wang,2018,Jineixiaotie dui xiguanjie guxingguanjieyan liaoxiao guancha [Effect of kinesio tape in osteoarthritis treatment],10.14033/j.cnki.cfmr.2018.18.068,2,non-english,china,asia,east asia,upper-middle income,no,unknown,unknown,yes,60,no,no,unknown,38,22,yes,60.47,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
J. C. Bautch; D. G. Malone; A. C. Vailas,1997,Effects of exercise on knee joints with osteoarthritis: a pilot study of biologic markers,10.1002/art.1790100108,5,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,30,yes,no,yes,NA,NA,no,NA,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,24.75,no,,,,,no,NA,,,NA,NA,no
E. Benli Küçük; Ö. Özyemişci Taşkıran; N. Tokgöz; J. Meray,2018,"Effects of isokinetic, isometric, and aerobic exercises on clinical variables and knee cartilage volume using magnetic resonance imaging in patients with osteoarthritis",10.5606/tftrd.2018.795,5,english,turkiye,asia,west asia,upper-middle income,no,unknown,unknown,yes,45,no,no,unknown,45,0,yes,52.1,yes,157,yes,73.63,yes,29.866,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,70,yes,14.666,5.666,45.333,,no,NA,,,NA,NA,yes
K. L. Bennell; Y. Ahamed; G. Jull; C. Bryant; M. A. Hunt; A. B. Forbes; J. Kasza; M. Akram; B. Metcalf; A. Harris; T. Egerton; J. A. Kenardy; M. K. Nicholas; F. J. Keefe,2016,Physical Therapist-Delivered Pain Coping Skills Training and Exercise for Knee Osteoarthritis: Randomized Controlled Trial,10.1002/acr.22744,7,english,australia,oceania,australia and new zealand,high income,yes,yes,unknown,yes,222,yes,no,no,133,89,yes,63.424,yes,167.66,yes,87.603,yes,31.102,yes,5,NA,no,NA,,,no,,,,,,no,no,NA,,,yes,4,currentlyemployed or unabletoworkduetohealthreasons or retirednotduetohealthreasons or notemployed,51v7v35v7,no,yes,3,less3highschool or 3highschool or tertiaryandpostgrad,8v31v60,NA,no,,,,no,NA,,,NA,,,no,,yes,58.736,yes,8.764,nr,34.96,,no,NA,,,NA,NA,yes
K. L. Bennell; R. S. Hinman; B. R. Metcalf; R. Buchbinder; J. McConnell; G. McColl; S. Green; K. M. Crossley,2005,"Efficacy of physiotherapy management of knee joint osteoarthritis: A randomised, double blind, placebo controlled trial",10.1136/ard.2004.026526,8,english,australia,oceania,australia and new zealand,high income,yes,unknown,unknown,yes,140,yes,no,yes,94,46,yes,68.548,yes,163.95,yes,78.43,yes,29.108,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,52.52,yes,8.104,nr,27.982,,no,NA,,,NA,NA,yes
K. L. Bennell; M. A. Hunt; T. V. Wrigley; D. J. Hunter; F. J. McManus; P. W. Hodges; L. Li; R. S. Hinman,2010,Hip strengthening reduces symptoms but not knee load in people with medial knee osteoarthritis and varus malalignment: a randomised controlled trial,10.1016/j.joca.2010.01.010,8,english,australia,oceania,australia and new zealand,high income,yes,unknown,unknown,yes,89,no,yes,no,43,46,yes,64.549,no,NA,no,NA,yes,27.944,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,42.01,yes,7.304,nr,24.256,,no,NA,,,NA,NA,yes
K. L. Bennell; M. Kyriakides; B. Metcalf; T. Egerton; T. V. Wrigley; P. W. Hodges; M. A. Hunt; E. M. Roos; A. Forbes; E. Ageberg; R. S. Hinman,2014,Neuromuscular versus quadriceps strengthening exercise in patients with medial knee osteoarthritis and varus malalignment: a randomized controlled trial,10.1002/art.38317,7,english,australia,oceania,australia and new zealand,high income,yes,unknown,unknown,yes,100,yes,no,yes,52,48,yes,62.45,yes,166.85,yes,82.7,yes,29.65,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,54.1,yes,8.45,4.35,27.1,,no,NA,,,NA,NA,yes
K. L. Bennell; R. Nelligan; F. Dobson; C. Rini; F. Keefe; J. Kasza; S. French; C. Bryant; A. Dalwood; J. H. Abbott; R. S. Hinman,2017,Effectiveness of an internet-delivered exercise and pain-coping skills training intervention for persons with chronic knee pain: A randomized trial,10.7326/M16-1714,7,english,australia,oceania,australia and new zealand,high income,yes,yes,unknown,yes,148,yes,no,yes,83,65,yes,61.15,yes,169.15,yes,89.7,yes,31.05,no,NA,NA,yes,2,metropolitan or regional/rural,57v43,no,,,,,,no,no,NA,,,yes,5,currentlyemployed or retirednotduetohealth or unemployed/student or homemaker or unabletoworkduetohealthreasons,57v30v4v3v5,no,yes,4,less3highschool or 3highschool or someedubeyondhighschool or tertiaryplus,5v22v25v48,NA,no,,,,no,NA,,,NA,,,no,,yes,61.5,yes,9.1,nr,32.8,,no,NA,,,NA,NA,yes
K. L. Bennell; R. K. Nelligan; A. J. Kimp; S. Schwartz; J. Kasza; T. V. Wrigley; B. Metcalf; P. W. Hodges; R. S. Hinman,2020,What type of exercise is most effective for people with knee osteoarthritis and co-morbid obesity?: The TARGET randomized controlled trial,10.1016/j.joca.2020.02.838,8,english,australia,oceania,australia and new zealand,high income,yes,unknown,unknown,yes,128,no,yes,no,86,42,yes,61.673,yes,165.97,yes,103.4,yes,37.542,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,yes,2,currentlyemployed or notcurrentlyemployed,64v36,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,59,yes,nr,nr,27.79,,yes,52.27,54.47,nr,25.74,31.4375,yes
B. M. Berman; L. Lao; P. Langenberg; W. L. Lee; A. M. K. Gilpin; M. C. Hochberg,2004,"Effectiveness of acupuncture as adjunctive therapy in osteoarthritis of the knee. A randomized, controlled trial",http://dx.doi.org/10.7326/0003-4819-141-12-200412210-00006,7,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,570,yes,no,no,365,205,yes,65.5,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,yes,no,race,3,white or africanamerican or other,69v29v2,no,no,NA,,,no,NA,,,no,yes,2,nocollege or somecollege,31v69,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,8.94,nr,31.69,,no,NA,,,NA,NA,yes
T. Bezalel; E. Carmeli; M. Katz-Leurer,2010,The effect of a group education programme on pain and function through knowledge acquisition and home-based exercise among patients with knee osteoarthritis: a parallel randomised single-blind clinical trial,10.1016/j.physio.2009.09.009,6,english,israel,asia,west asia,high income,no,unknown,unknown,yes,50,no,yes,no,37,13,yes,73.75,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,10.65,2.35,35.55,48.6,no,NA,,,NA,NA,yes
H. Bliddal; A. R. Leeds; L. Stigsgaard; A. Astrup; R. Christensen,2011,Weight loss as treatment for knee osteoarthritis symptoms in obese patients: 1-year results from a randomised controlled trial,10.1136/ard.2010.142018,5,english,denmark,europe ,north europe,high income,no,unknown,unknown,yes,89,no,yes,yes,79,10,yes,62.6,yes,160,yes,95.6,yes,35.6,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,7.68,3.184,27.064,37.44,no,NA,,,NA,NA,yes
H. R. Bokaeian; A. H. Bakhtiary; M. Mirmohammadkhani; J. Moghimi,2016,The effect of adding whole body vibration training to strengthening training in the treatment of knee osteoarthritis: A randomized clinical trial,10.1016/j.jbmt.2015.08.005,7,english,iran,asia,south asia,upper-middle income,no,unknown,unknown,yes,28,no,no,unknown,26,2,yes,52.82,no,NA,yes,73.81,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,73.75,unclear,,,,,no,NA,,,NA,NA,yes
M. Börjesson; E. Robertson; L. Weidenhielm; E. Mattsson; E. Olsson,1996,Physiotherapy in knee osteoarthrosis: effect on pain and walking,10.1002/pri.6120010205,6,english,sweden,europe ,north europe,high income,no,unknown,unknown,yes,68,no,yes,no,34,34,yes,64,yes,171.5,yes,82.5,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
R. M. B. Braghin; E. C. Libardi; C. Junqueira; M. H. Nogueira-Barbosa; D. C. C. de Abreu,2018,Exercise on balance and function for knee osteoarthritis: A randomized controlled trial,10.1016/j.jbmt.2017.04.006,7,english,brazil,americas,south america,upper-middle income,no,unknown,unknown,yes,42,no,yes,yes,31,11,yes,61.17,yes,161.11,yes,77.4,yes,29.88,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,3.428,0.895,10.522,,no,NA,,,NA,NA,yes
J. M. Brismée; R. L. Paige; M. C. Chyu; J. D. Boatright; J. M. Hagar; J. A. McCaleb; M. M. Quintela; D. Feng; K. T. Xu; C. L. Shen,2007,Group and home-based tai chi in elderly subjects with knee osteoarthritis: a randomized controlled trial,10.1177/0269215506070505,5,english,united states of america,americas,north america,high income,yes,yes,unknown,yes,41,yes,no,yes,34,7,yes,70,yes,163.9,yes,73.26,yes,27.83,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,55.44,yes,9.528,4.183,31.528,,no,NA,,,NA,NA,yes
L. Brosseau; G. A. Wells; G. P. Kenny; R. Reid; A. Maetzel; P. Tugwell; M. Huijbregts; C. McCullough; G. De Angelis; L. Chen,2012,The implementation of a community-based aerobic walking program for mild to moderate knee osteoarthritis (OA): A knowledge translation (KT) randomized controlled trial (RCT): Part I: The Uptake of the Ottawa Panel clinical practice guidelines (CPGs),10.1186/1471-2458-12-871,6,english,canada,americas,north america,high income,yes,yes,unknown,yes,222,yes,no,no,153,69,yes,63.4,no,NA,yes,82.2,yes,29.8,no,NA,NA,no,NA,,,yes,no,race,6,white or black or hispanic or asianpacificislander or americanindianalaskannative or other,89v2v4v4v0.5v0.5,no,no,NA,,,no,NA,,,no,yes,7,lessthan7yrsofschool or grades7through9 or grades10through11 or highschoolgraduate or 1to4yrsofcollege or collegegraduate or professionalgraduateschool,2v2v7v17v20v29v23,NA,no,,,,yes,5,married or separated or divorced or widowed or nevermarried,57v2v15v17v9,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
R. A. Bruce-Brand; R. J. Walls; J. C. Ong; B. S. Emerson; J. M. O'Byrne; N. M. Moyna,2012,Effects of home-based resistance training and neuromuscular electrical stimulation in knee osteoarthritis: a randomized controlled trial,10.1186/1471-2474-13-118,5,english,ireland,europe ,north europe,high income,yes,unknown,unknown,yes,26,no,yes,no,11,15,yes,64,yes,160,no,NA,yes,33.31,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,10.75,5.2046,35.277,,no,NA,,,NA,NA,yes
"F. F. Bryk; A. C. Dos Reis; D. Fingerhut; T. Araujo; M. Schutzer; P. Cury Rde; A. Duarte, Jr.; T. Y. Fukuda",2016,Exercises with partial vascular occlusion in patients with knee osteoarthritis: a randomized clinical trial,10.1007/s00167-016-4064-7,6,english,brazil,americas,south america,upper-middle income,no,unknown,unknown,yes,34,no,no,unknown,34,0,yes,61.35,yes,157.5,yes,73.05,yes,29.85,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,62.5,no,,,,,no,NA,,,NA,NA,yes
K. Chaipinyo; O. Karoonsupcharoen,2009,No difference between home-based strength training and home-based balance training on pain in patients with knee osteoarthritis: a randomised trial,10.1016/s0004-9514(09)70057-1,7,english,thailand,asia,south-east asia,upper-middle income,no,unknown,unknown,yes,48,no,yes,no,37,11,yes,66,yes,153,yes,58.5,yes,25,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,yes,75.571,74.714,76.428,54.571,53.285,yes
M. A. Chamberlain; G. Care; B. Harfield,1982,Physiotherapy in osteoarthrosis of the knees. A controlled trial of hospital versus home exercises,10.3109/09638288209166889,5,english,england,europe ,north europe,high income,yes,unknown,unknown,yes,42,no,no,unknown,32,10,no,NA,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
T. F. Chang; T. H. Liou; C. H. Chen; Y. C. Huang; K. H. Chang,2012,Effects of elastic-band exercise on lower-extremity function among female patients with osteoarthritis of the knee,10.3109/09638288.2012.660598,4,english,taiwan,asia,east asia,high income,no,unknown,unknown,yes,41,no,no,unknown,41,0,yes,67.4,yes,150,yes,59.37,yes,25.23,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,4.38,1.6926,20.829,,no,NA,,,NA,NA,yes
G. L. Y. Cheing; C. W. Y. Hui-Chan; K. M. Chan,2002,Does four weeks of TENS and/or isometric exercise produce cumulative reduction of osteoarthritic knee pain?,10.1191/0269215502cr549oa,5,english,"hong kong, sar",asia,east asia,high income,yes,unknown,unknown,yes,62,no,yes,no,53,9,yes,63.68,yes,153.59,yes,65.4,yes,27.67,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,NA,no,,,,,no,NA,,,NA,NA,yes
K. W. Chen; A. Perlman; J. G. Liao; A. Lam; J. Staller; L. H. Sigal,2008,Effects of external qigong therapy on osteoarthritis of the knee. A randomized controlled trial,10.1007/s10067-008-0955-4,7,english,united states of america,americas,north america,high income,yes,yes,unknown,yes,106,yes,no,no,76,30,yes,62.86,no,NA,no,NA,yes,30.66,no,NA,NA,no,NA,,,yes,no,race,2,white or nonwhite,84v16,no,no,NA,,,no,NA,,,no,yes,3,nocollege or somecollege or graduatedegree,21v58v21,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,10.02,nr,35.564,50.51139623,no,NA,,,NA,NA,yes
